Age,Weak Foot,Skill Moves,Height,Weight,SlidingTackle,HeadingAccuracy,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Positioning,Penalties,Composure,Marking,StandingTackle,shooting_attributes,passing_attribtes,Left,Right,Overall,Value,Potential,Wage
31,4,4,167.28,72,26,70,97,96,91,86,91,95,95,68,72,59,48,22,94,75,96,33,28,91.16666667,88.75,1,0,94,110500000,94,565000
33,4,5,186.4,83,23,89,88,94,89,91,87,96,70,95,88,79,63,29,95,85,95,28,31,87.66666667,81,0,1,94,77000000,94,405000
26,5,5,171.76,68,33,62,96,95,94,90,96,94,84,61,81,49,56,36,89,81,94,27,24,84.66666667,82,0,1,92,118500000,93,290000
27,3,1,190.88,76,13,21,18,42,57,58,60,90,43,67,43,64,38,30,12,40,68,15,21,18.16666667,46.5,0,1,91,72000000,93,260000
27,5,4,176.24,69,51,55,86,91,78,76,79,91,77,63,90,75,76,61,87,79,88,68,58,85.66666667,92.5,0,1,91,102000000,92,355000
27,4,4,169.52,73,22,61,95,94,94,88,95,90,94,56,83,66,54,41,87,86,91,34,27,81.33333333,85.5,0,1,91,93000000,91,340000
32,4,4,169.52,66,73,55,90,93,80,72,93,90,94,68,89,58,62,83,79,82,84,60,76,78.66666667,89.75,0,1,91,67000000,91,420000
31,4,3,181.92,86,38,77,87,90,86,75,82,92,83,69,90,83,87,41,92,85,85,62,45,87,76.75,0,1,91,80000000,91,455000
32,3,3,181.92,82,91,91,63,84,76,75,78,85,66,93,84,83,88,90,60,75,82,87,92,68.33333333,71,0,1,91,51000000,91,380000
25,3,1,186.4,87,18,15,12,16,43,60,67,86,49,76,41,78,34,19,11,11,70,27,12,14.16666667,34.5,0,1,90,68000000,93,94000
29,4,4,181.92,79,19,85,85,89,77,78,78,90,78,84,78,84,80,39,91,88,86,34,42,85.83333333,71.75,0,1,90,77000000,90,205000
28,5,3,181.92,76,69,54,81,90,64,62,70,89,71,30,75,73,60,82,79,73,85,72,79,84.5,89.75,0,1,90,76500000,90,355000
32,3,2,186.4,78,89,92,53,76,68,68,58,85,54,91,66,88,89,88,48,50,82,90,89,49.83333333,64,0,1,90,44000000,90,125000
32,2,4,169.52,67,29,54,89,94,70,64,92,90,90,64,78,52,57,50,89,75,93,59,53,77.33333333,89,1,0,90,60000000,90,285000
27,3,2,165.04,72,85,54,79,80,82,78,82,93,92,77,96,76,90,92,71,54,85,90,91,59.83333333,78.5,0,1,89,63000000,90,225000
24,3,4,174,74,20,68,92,92,87,83,91,86,85,75,80,65,48,32,84,86,84,23,20,86.33333333,82.75,1,0,89,89000000,94,205000
24,4,3,186.4,88,38,85,80,84,68,72,71,91,71,78,89,84,76,35,93,90,89,56,36,82.83333333,79.25,0,1,89,83500000,91,205000
27,3,4,171.76,73,48,84,88,90,88,85,90,90,80,90,83,62,69,35,91,79,87,59,47,83.5,81,1,0,89,78000000,90,145000
26,4,1,186.4,84,10,11,17,18,38,50,37,85,43,79,35,79,43,22,11,25,69,25,13,15,40.5,0,1,89,58000000,92,240000
26,2,1,195.36,96,16,13,13,23,46,52,61,84,45,68,38,70,23,15,13,27,66,20,18,19.66666667,31.5,1,0,89,53500000,90,240000
29,3,3,186.4,76,80,68,80,88,50,52,66,87,52,66,86,77,85,87,77,60,90,90,86,60,80,0,1,89,51500000,89,315000
31,4,3,184.16,77,39,89,80,82,75,76,77,91,59,88,92,78,84,48,93,85,82,52,45,83,69.25,0,1,89,60000000,89,200000
32,4,1,190.88,92,11,25,30,48,54,60,51,84,35,77,43,80,29,30,12,47,70,17,10,15,49.75,0,1,89,38000000,89,130000
30,4,4,169.52,69,12,77,89,89,88,80,86,90,91,81,76,73,65,24,92,83,90,30,20,84,74.5,0,1,89,64500000,89,300000
33,3,2,186.4,84,90,83,58,57,63,75,54,82,55,89,65,89,92,88,28,50,84,93,93,49.33333333,56.5,1,0,89,27000000,89,215000
19,4,5,174,73,32,77,90,91,96,96,92,87,83,75,83,71,62,38,88,70,86,34,34,77.16666667,78.5,0,1,88,81000000,95,100000
26,3,4,171.76,71,41,59,89,88,94,91,91,91,88,68,84,70,63,55,90,61,91,38,43,77.66666667,78.5,1,0,88,69500000,89,255000
26,3,2,184.16,83,87,76,69,78,59,65,62,84,66,88,87,89,87,87,69,66,84,88,90,68.33333333,74,0,1,88,59500000,90,285000
26,3,4,176.24,78,44,62,85,90,73,67,83,85,76,54,70,68,64,55,80,81,87,52,41,87.66666667,87.75,1,0,88,69500000,89,315000
27,3,4,160.56,58,22,56,90,93,94,86,94,83,93,53,75,44,34,26,83,61,83,51,24,79,84,0,1,88,62000000,88,165000
26,3,4,171.76,78,51,55,94,95,75,69,87,77,90,64,70,59,58,64,78,76,86,60,64,77.33333333,84,0,1,88,73500000,91,315000
26,5,4,176.24,76,22,52,84,91,75,73,79,88,81,50,92,58,46,56,83,67,88,59,57,83.83333333,89.5,0,1,88,73500000,91,205000
26,4,5,169.52,68,47,48,91,92,89,75,92,83,93,59,79,61,59,49,84,70,85,55,54,84.5,85,0,1,88,69500000,89,340000
29,4,4,186.4,79,36,79,79,82,93,95,76,87,70,79,76,76,43,48,90,76,86,27,25,81.5,73.75,0,1,88,59000000,88,265000
29,3,3,188.64,92,88,87,68,81,53,64,63,87,60,68,66,84,69,92,56,68,91,88,90,59.16666667,77.25,0,1,88,46000000,88,160000
30,4,5,171.76,79,86,75,90,92,83,82,86,88,86,76,91,78,84,85,85,59,86,71,85,71.5,83,1,0,88,43000000,88,285000
28,3,4,184.16,82,52,84,87,85,94,95,82,85,65,87,75,80,65,59,85,76,86,54,55,88.5,82.75,1,0,88,60000000,88,355000
31,1,1,186.4,82,18,10,10,34,65,62,55,85,54,74,41,43,31,27,10,40,65,29,10,13.16666667,35.75,1,0,88,36000000,88,150000
30,4,3,184.16,88,18,80,84,85,73,73,75,86,69,79,70,85,50,20,92,70,86,35,22,80.66666667,69,0,1,88,57000000,88,245000
33,3,2,181.92,82,85,81,62,80,70,72,68,82,68,90,74,82,76,89,59,60,81,88,89,60.83333333,73,0,1,88,24000000,88,165000
33,2,1,190.88,92,13,10,12,16,51,55,47,83,36,78,41,71,25,22,12,23,69,25,10,14.83333333,30.75,0,1,88,30000000,88,110000
40,2,1,190.88,92,11,13,26,28,49,43,55,79,49,75,39,69,38,28,12,22,70,13,11,19.5,33.75,0,1,88,4000000,88,77000
24,3,2,181.92,74,86,79,69,77,71,73,68,82,66,89,78,84,81,87,58,61,82,90,89,68.66666667,70.25,1,0,87,57000000,92,205000
25,4,3,176.24,74,20,91,77,81,77,78,76,88,76,94,72,76,56,22,92,82,85,45,24,72.16666667,59.25,0,1,87,64500000,90,130000
27,3,2,186.4,88,86,81,66,60,68,75,50,80,40,81,71,94,87,88,24,33,78,91,88,26.5,48.75,0,1,87,51000000,90,115000
25,4,5,190.88,83,68,73,87,90,71,79,74,81,64,83,88,89,78,66,81,81,87,66,70,82.5,85.75,0,1,87,64000000,91,210000
31,3,1,184.16,79,14,11,16,19,54,53,60,84,61,74,39,75,32,20,16,25,67,28,14,14.33333333,36.5,0,1,87,30500000,87,195000
25,3,3,188.64,93,30,86,80,72,77,90,60,86,46,71,84,94,75,27,89,78,83,30,30,78,76,1,0,87,62500000,89,230000
28,4,3,184.16,84,32,81,83,83,78,85,77,87,63,77,80,76,77,40,91,78,81,34,33,77.33333333,60.75,0,1,87,52000000,87,115000
29,3,3,167.28,68,85,70,80,84,93,93,90,83,85,81,91,61,75,84,79,59,79,72,84,67.66666667,78.75,1,0,87,38000000,87,250000
31,4,4,167.28,60,40,35,91,89,93,85,94,88,92,60,75,42,59,36,87,79,81,25,40,79.66666667,79,0,1,87,45000000,87,135000
31,3,3,186.4,86,88,80,71,76,61,65,61,84,60,85,75,79,84,89,60,66,83,90,87,64.16666667,72.25,1,0,87,34000000,87,155000
30,5,3,181.92,78,62,74,86,87,69,68,76,88,66,71,84,67,56,72,88,70,84,75,73,79.16666667,83.75,0,1,87,46500000,87,125000
30,3,3,181.92,78,70,58,84,87,66,59,72,77,66,39,84,66,67,75,79,82,81,72,74,84.83333333,86.75,0,1,87,46500000,87,260000
31,3,2,190.88,84,84,83,59,78,49,60,58,84,36,74,65,83,72,88,58,69,86,91,86,55.83333333,70,0,1,87,34000000,87,240000
22,3,4,181.92,74,35,72,88,85,93,96,88,81,81,64,79,70,61,34,84,71,78,36,32,80,77,1,0,86,61000000,92,195000
23,3,4,169.52,63,35,51,92,91,84,74,90,82,88,50,78,48,58,49,83,68,85,49,44,72.66666667,83.75,1,0,86,59500000,91,180000
24,3,1,186.4,86,8,14,23,37,64,63,60,86,48,58,41,68,35,25,20,17,70,28,15,21.16666667,50.25,1,0,86,41500000,90,125000
26,4,4,171.76,68,38,62,87,86,95,93,91,86,86,75,84,67,73,35,87,71,80,42,42,74.83333333,76.25,0,1,86,52000000,87,195000
26,3,2,190.88,92,84,82,70,73,74,77,61,85,49,85,71,92,81,86,41,62,83,88,89,62,66.5,0,1,86,44500000,88,165000
23,3,4,167.28,68,54,38,88,87,95,92,93,87,93,57,78,52,38,30,87,69,77,47,58,70.5,76.75,0,1,86,56500000,89,195000
26,4,4,176.24,76,42,77,87,88,78,77,80,86,81,81,90,74,73,58,87,72,87,60,64,78.33333333,79.5,0,1,86,53000000,87,195000
25,3,2,188.64,81,87,83,57,77,83,85,63,83,40,79,73,84,77,82,44,43,82,87,88,47.83333333,60.75,0,1,86,50000000,91,210000
25,4,4,162.8,59,80,55,90,88,69,62,87,85,94,64,77,52,89,84,71,64,93,78,83,62.5,84.5,0,1,86,55000000,89,135000
27,3,3,176.24,79,84,76,80,81,83,86,79,84,78,79,92,79,82,82,70,60,82,81,84,68.66666667,76.5,1,0,86,36500000,86,160000
27,3,5,169.52,69,34,50,92,91,97,93,93,84,91,61,78,63,55,48,76,77,84,45,38,78.5,80,1,0,86,46500000,86,175000
28,4,3,184.16,74,44,82,75,82,73,75,75,91,72,81,87,68,57,58,92,60,83,44,41,78.16666667,79.75,0,1,86,45000000,86,135000
27,3,5,171.76,69,65,54,90,90,78,69,90,84,86,75,75,59,57,78,79,75,85,67,63,79.16666667,83.75,0,1,86,45500000,86,130000
29,4,4,176.24,71,45,49,87,86,86,85,86,87,81,70,73,67,49,50,88,89,84,47,36,87.33333333,81.5,0,1,86,43500000,86,100000
28,3,2,174,76,86,76,69,77,76,76,72,88,73,76,87,71,82,89,62,66,78,88,90,58.5,79,0,1,86,35000000,86,175000
31,3,2,188.64,84,80,86,69,75,57,65,60,84,52,85,71,83,82,90,38,70,86,90,86,60.33333333,70,0,1,86,30000000,86,160000
29,3,2,184.16,81,86,82,62,74,61,66,60,86,50,84,74,79,80,87,58,58,81,90,91,59.66666667,73.75,0,1,86,39000000,87,150000
28,4,3,174,72,70,60,86,89,66,66,77,84,79,61,78,66,70,78,70,79,86,75,74,78.33333333,85.5,0,1,86,44000000,86,180000
31,3,2,186.4,93,85,83,64,64,65,75,59,82,53,85,69,91,86,86,38,41,82,89,87,40.33333333,55.5,0,1,86,30000000,86,160000
29,2,4,176.24,76,19,54,84,90,72,69,79,84,70,48,69,57,48,24,83,67,82,24,16,76.5,86.25,1,0,86,43500000,86,190000
33,4,3,174,67,80,63,77,82,68,67,72,86,78,76,79,76,87,88,70,61,79,85,85,74.33333333,77.25,0,1,86,18000000,86,185000
34,4,4,167.28,68,56,54,90,92,70,67,79,86,84,47,55,58,58,66,81,71,89,67,57,71.66666667,86.25,0,1,86,21500000,86,21000
